PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 07172024_300SPD_5cmIO_JW_50ngMix1_Rep1.raw.PG.MS2Quantity,[2] 07172024_300SPD_5cmIO_JW_50ngMix1_Rep2.raw.PG.MS2Quantity,[3] 07172024_300SPD_5cmIO_JW_50ngMix1_Rep3.raw.PG.MS2Quantity,[4] 07172024_300SPD_5cmIO_JW_50ngMix2_Rep1.raw.PG.MS2Quantity,[5] 07172024_300SPD_5cmIO_JW_50ngMix2_Rep2.raw.PG.MS2Quantity,[6] 07172024_300SPD_5cmIO_JW_50ngMix2_Rep3.raw.PG.MS2Quantity,[7] 07172024_300SPD_5cmIO_JW_50ngMix3_Rep1.raw.PG.MS2Quantity,[8] 07172024_300SPD_5cmIO_JW_50ngMix3_Rep2.raw.PG.MS2Quantity,[9] 07172024_300SPD_5cmIO_JW_50ngMix3_Rep3.raw.PG.MS2Quantity,[10] 07172024_300SPD_5cmIO_JW_50ngMix4_Rep1.raw.PG.MS2Quantity,[11] 07172024_300SPD_5cmIO_JW_50ngMix4_Rep2.raw.PG.MS2Quantity,[12] 07172024_300SPD_5cmIO_JW_50ngMix4_Rep3.raw.PG.MS2Quantity,[13] 07172024_300SPD_5cmIO_JW_50ngMix5_Rep1.raw.PG.MS2Quantity,[14] 07172024_300SPD_5cmIO_JW_50ngMix5_Rep2.raw.PG.MS2Quantity,[15] 07172024_300SPD_5cmIO_JW_50ngMix5_Rep3.raw.PG.MS2Quantity
A0A024QZ42;O75340,A0A024QZ42;O75340,PDCD6,Homo sapiens,"HCG1985580, isoform CRA_c;Programmed cell death protein 6",1320.571044921875,1347.8768310546875,1255.6302490234375,1379.5814208984375,1359.947998046875,1331.17236328125,1376.31591796875,1489.4588623046875,1287.427734375,993.873291015625,1180.456787109375,1038.7601318359375,1286.2276611328125,1373.836181640625,1314.1328125
A0A024QZP7;P06493,A0A024QZP7;P06493,CDK1,Homo sapiens,"Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a;Cyclin-dependent kinase 1",1610.654052734375,1605.481201171875,1646.8880615234375,1519.6973876953125,1601.17724609375,1624.6536865234375,1729.34423828125,1620.74609375,1703.8431396484375,1599.0765380859375,1557.353515625,1671.55859375,1633.8150634765625,1576.9610595703125,1589.329833984375
A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237,A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237,SERPINB6,Homo sapiens,Serpin family B member 6;Serpin family B member 6;Serpin family B member 6;Serpin B6,1359.982421875,1366.667236328125,1351.5445556640625,1446.7354736328125,1404.1602783203125,1481.77783203125,1353.875,1512.7822265625,1575.352294921875,1275.6124267578125,1354.01513671875,1363.6434326171875,1406.5052490234375,1308.97802734375,1353.8076171875
A0A024R161;P50151,A0A024R161;P50151,DNAJC25-GNG10;GNG10,Homo sapiens,Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,542.2465209960938,485.7770080566406,505.1747741699219,498.150390625,438.0349426269531,486.2345886230469,425.29949951171875,385.3816223144531,454.577880859375,409.8535461425781,492.0159606933594,281.0310974121094,497.91485595703125,373.2945556640625,498.0680236816406
A0A024R4E5;Q00341,A0A024R4E5;Q00341,HDLBP,Homo sapiens,High density lipoprotein binding protein;Vigilin,761.7439575195312,752.4021606445312,750.96484375,762.0359497070312,798.3277587890625,774.5838623046875,765.9395751953125,791.7642822265625,802.35009765625,772.903564453125,763.0855102539062,786.1585083007812,784.7907104492188,817.218994140625,749.2178955078125
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,TMEM120A,Homo sapiens,Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Ion channel TACAN,81.2358169555664,71.63488006591797,48.656246185302734,58.77632141113281,61.64968490600586,57.94109344482422,105.18143463134766,59.54851531982422,115.17082214355469,115.39556121826172,60.66571044921875,110.54580688476562,79.3189926147461,109.10917663574219,78.33193969726562
A0A024R571;Q9H4M9,A0A024R571;Q9H4M9,EHD1,Homo sapiens,EH domain containing 1;EH domain-containing protein 1,574.7026977539062,614.7017211914062,586.219482421875,587.9553833007812,551.8278198242188,586.3397216796875,569.2901000976562,589.6300048828125,584.0616455078125,586.5585327148438,610.5578002929688,581.6004028320312,554.5573120117188,568.661376953125,604.5324096679688
A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002,A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002,ELOF1,Homo sapiens,Transcription elongation factor 1 homolog,185.63926696777344,175.62274169921875,186.8313751220703,146.04981994628906,181.2996826171875,211.4163818359375,147.25961303710938,172.85707092285156,161.7087860107422,197.90545654296875,138.98130798339844,127.03726196289062,251.1800537109375,179.44491577148438,101.40874481201172
A0A024R7P0;O14593,A0A024R7P0;O14593,RFXANK,Homo sapiens,Regulatory factor X associated ankyrin containing protein;DNA-binding protein RFXANK,29.548994064331055,14.739112854003906,NaN,10.266582489013672,32.21988296508789,1.2807493209838867,NaN,15.814432144165039,28.95905303955078,36.575042724609375,15.898993492126465,33.40076446533203,21.891822814941406,NaN,31.577844619750977
A0A024RA52;P25787,A0A024RA52;P25787,PSMA2,Homo sapiens,Proteasome subunit alpha type;Proteasome subunit alpha type-2,1407.996337890625,1387.7177734375,1429.374755859375,1354.894775390625,1368.18359375,1389.172607421875,1308.1234130859375,1330.880615234375,1251.3433837890625,1558.7381591796875,1430.361083984375,1659.6517333984375,1369.7044677734375,1398.2030029296875,1315.717529296875
A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1,A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1,SLC22A18,Homo sapiens,"Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18;Solute carrier family 22 member 18;Solute carrier family 22 member 18",284.33056640625,268.3578796386719,255.44808959960938,357.6247253417969,231.08734130859375,267.13055419921875,288.8468322753906,322.9378662109375,308.5179748535156,314.9755554199219,323.95654296875,301.5729675292969,287.5846252441406,270.2148742675781,293.2508850097656
A0A024RCQ8;A0A0G2JH76;A0A140T8X7;Q9UMR5,A0A024RCQ8;A0A0G2JH76;A0A140T8X7;Q9UMR5,PPT2,Homo sapiens,"HCG1999928, isoform CRA_a;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2",244.4875946044922,162.5753631591797,268.7236633300781,255.74533081054688,246.655517578125,273.0593566894531,295.1966247558594,320.56005859375,269.326904296875,163.4198760986328,201.69290161132812,244.4444580078125,273.9586181640625,314.0906982421875,269.6061706542969
A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379,A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379,BAG6,Homo sapiens,Large proline-rich protein BAG6,434.6085205078125,343.837646484375,377.46734619140625,429.13348388671875,401.4563293457031,395.9783020019531,418.2994079589844,452.00201416015625,374.4822082519531,411.5670166015625,408.1604919433594,445.7099304199219,448.76568603515625,449.81732177734375,405.2572326660156
A0A075B6E5;A0A0U1RRM6;Q8N8S7,A0A075B6E5;A0A0U1RRM6;Q8N8S7,ENAH,Homo sapiens,ENAH actin regulator (Fragment);ENAH actin regulator;Protein enabled homolog,254.79071044921875,288.9494323730469,276.42559814453125,362.2925109863281,251.6638946533203,252.11813354492188,251.92886352539062,262.7303161621094,300.6616516113281,356.5428466796875,253.05584716796875,181.34963989257812,236.36973571777344,188.9564971923828,246.63966369628906
A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5;Q8TCT9,A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5;Q8TCT9,HM13,Homo sapiens,Histocompatibility minor 13 (Fragment);Histocompatibility 13 isoform 2;Histocompatibility minor 13;Histocompatibility minor 13;Minor histocompatibility antigen H13,1515.42822265625,1531.7689208984375,1635.428955078125,1273.0955810546875,1332.450439453125,1362.544677734375,1321.014404296875,1400.0230712890625,1482.9044189453125,1654.0360107421875,1698.0887451171875,1746.3150634765625,1451.1656494140625,1431.1168212890625,1495.1580810546875
A0A075B6F9;Q9Y314,A0A075B6F9;Q9Y314,NOSIP,Homo sapiens,Nitric oxide synthase-interacting protein,240.24920654296875,237.23931884765625,208.30392456054688,205.31398010253906,233.1986846923828,216.94284057617188,247.25759887695312,229.14208984375,244.29827880859375,231.358642578125,203.3227996826172,259.5819396972656,200.40133666992188,279.2247314453125,226.78543090820312
